WORD,Val,Val_sd,joy,joy_sd,anger,anger_sd,sadness,sadness_sd,fear,fear_sd,disgust,disgust_sd
fracht,"0,3","0,48304589","1,3913","0,94094394","1,1304","0,3444","1,0435","0,2085","1,3043","0,7648","1,1304","0,4577"
frage,"0,15","1,26802789","1,9","1,20961064",2,"1,214","1,2","0,5231","1,6","0,9403","1,05","0,2236"
fraktion,"-0,7647059","0,9230655","1,2","0,52314836","1,5",1,"1,1","0,3078","1,2","0,4104","1,05","0,2236"
frau,"1,4","1,17378779","3,0952","1,37494589","1,7619","1,3002","1,381","0,9207","1,7619","1,3002","1,3333","0,9129"
frÃ¤ulein,"-0,3529412","1,77324139","1,9","1,11921025","1,8","1,1965",1,0,1,0,"1,15","0,6708"
freier,"-1,1","1,51830931","1,6364","1,09307145","2,4091","1,5934","1,8182","1,3323","1,9545","1,362",3,"1,8257"
freiheit,"2,8","0,42163702","4,15","1,13670808","1,1","0,4472","1,15","0,4894","1,25","0,4443",1,0
freitod,-2,"1,15470054","1,2","0,89442719","2,3","1,4179","3,7","1,2607","2,25","1,4824","1,4","1,0954"
freizeit,"2,4","0,51639778","4,35","1,08942283","1,1","0,3078",1,0,"1,1","0,3078",1,0
freude,"2,7","0,57124057","4,0435","1,4295028","1,0435","0,2085",1,0,"1,0435","0,2085","1,0435","0,2085"
freund,"2,55882353","0,61255434","4,2609","1,17617992","1,3478","0,9346","1,2609","0,8643","1,2609","0,8643",1,0
frevel,"-1,7","0,92338052","1,3182","0,71623112","2,2727","1,3516","1,5909","1,0538","1,9091","1,2309","1,5","0,9129"
friede,"2,4","1,04629673","3,9091","1,54022543","1,0909","0,4264","1,0909","0,2942","1,1364","0,3513","1,0909","0,4264"
frieden,"2,52941176","0,70647628","4,3","1,21828179","1,15","0,4894","1,25","0,6387","1,35","0,6708",1,0
friedhof,"-1,6","1,0749677","1,05","0,2236068","1,3","0,8013","3,55","1,0501","2,55","1,3945","1,55","1,0501"
frist,"-1,2","1,03279556","1,381","0,97345727","3,0476","1,322","1,4762","0,9808","2,8571","1,1952","1,4762","1,0779"
frisur,"0,75","0,91046547","2,0476","1,11696869","1,4286","0,7464","1,0952","0,3008","1,1429","0,4781","1,1905","0,4024"
front,"-1,6470588","1,20308575","1,2","0,52314836","2,9","1,3338","2,4","1,2312","2,7","1,3018","1,9","1,3727"
frosch,"-0,09","1,54","2,2381","1,13599128","1,0952","0,4364","1,0952","0,4364","1,1905","0,5118","1,9524","1,4992"
frÃ¼hjahr,"2,02941176","1,14111307","3,95","1,05006265",1,0,"1,15","0,4894","1,15","0,6708",1,0
fuchs,"-0,18","1,62","2,6","1,46539019","1,35","0,8127","1,5","0,8272","1,9","1,0712","1,4","0,8826"
fÃ¼hrer,"-2,1764706","0,96830337","1,1364","0,46756253","3,0909","1,4445","2,3182","1,4924","2,3636","1,5289",2,"1,48"
fÃ¼hrung,"-0,4705882","1,35367724","1,3","0,65694669","1,65","0,7452","1,05","0,2236","1,55","1,0501","1,05","0,2236"
fÃ¼ller,"0,73","1,08","1,9091","1,30599682","1,2273","0,5284","1,0909","0,2942","1,0909","0,2942","1,1818","0,5011"
fund,1,"0,66666667","2,8095","1,50396302","1,2381","0,4364","1,381","0,8047","1,6667","1,1547","1,381","1,0713"
funke,"0,65","1,08942283","2,5714","1,32557265","1,4762","0,8136","1,2381","0,539",2,"1,1402","1,1429","0,3586"
furcht,"-2,2","0,78881064","1,2174","0,85048231","1,7826","0,9023","1,6957","0,9261","3,3043","1,3959","1,2174","0,5184"
fusion,"0,8","0,78881064","1,9091","1,41114917","1,5","0,8591","1,1818","0,5011","1,5","0,8018","1,5455","1,1434"
futter,"0,85","0,8127277","2,2174","1,24157238","1,087","0,2881","1,0435","0,2085","1,0435","0,2085","1,3478","0,6473"
gabel,"0,3","1,08093527","1,75","1,29269201","1,25","0,7164","1,25","0,5501","1,5","0,8272","1,45","0,9445"
galgen,"-2,2","0,89442719","1,0455","0,21320072","2,1364","1,3903","2,1364","1,4895","3,0909","1,6303","2,1818","1,4019"
